Species,Latitude,Longitude,Bat_Presence,Max_Temp_C,Precipitation_mm,Population_Density,Tree_Cover_Pct,Risk_Percentage
Pteropus scapulatus,-18.2873908,143.5494038,1,33.40833333333333,83.75,0.3913547396659851,0,78.42
Pteropus medius,7.273884,80.594115,1,29.75,270.5,17.627647399902344,51,33.88
Pteropus conspicillatus,-9.4657482654,147.1863007657,1,31.383333333333333,201.66666666666666,14.357534408569336,3,78.0
Pteropus medius,26.9543311534,77.3758974987,1,31.91666666666667,63.75,3.5279853343963623,0,73.13
Pteropus poliocephalus,-27.550158,153.054984,1,26.16666666666667,61.416666666666664,0.15385250747203827,58,10.06
Pteropus poliocephalus,-27.5507335556,153.0540969722,1,26.16666666666667,61.416666666666664,0.0,58,10.06
Pteropus alecto,-13.0986039722,130.7837749722,1,33.30833333333333,124.08333333333333,3.288234438514337e-05,9,74.07
Pteropus lylei,12.7986501555,104.831069421,1,32.725,138.66666666666666,1.4059035778045654,2,78.44
Pteropus niger,-20.232413843,57.4995496074,1,26.04166666666667,171.58333333333334,8.971359252929688,30,32.78
Pteropus poliocephalus,-27.6013938258,153.0384386798,1,26.175,62.666666666666664,13.938802719116211,18,35.91
Pteropus poliocephalus,-33.9003633333,151.2353533333,1,23.308333333333337,93.41666666666667,0.033026814460754395,12,33.8
Pteropus poliocephalus,-33.90012,151.2354283333,1,23.308333333333337,93.41666666666667,0.033026814460754395,12,33.8
Pteropus alecto,-27.550080888,153.0544462098,1,26.16666666666667,61.416666666666664,0.0,58,10.06
Pteropus poliocephalus,-34.9157167997,138.6061838997,1,21.84166666666667,41.833333333333336,6.740520000457764,17,22.07
Pteropus alecto,-27.5540324,153.1969152,1,25.71666666666667,65.25,2.2282819747924805,17,35.34
Pteropus poliocephalus,-37.7692505216,145.3522037443,1,20.175,81.5,11.022257804870605,7,27.34
Pteropus alecto,-24.327255,151.56047,1,27.54166666666667,89.41666666666667,1.7967945337295532,4,56.71
Pteropus alecto,-25.2813716667,152.847105,1,26.925,73.33333333333333,9.01627254486084,0,57.12
Pteropus alecto,-25.2817283333,152.8471833333,1,26.925,73.33333333333333,9.01627254486084,0,57.12
Pteropus alecto,-20.25463,148.814455,1,29.208333333333332,136.08333333333334,0.06107839569449425,3,67.15
Pteropus lylei,13.7059914561,100.4115980611,1,33.49166666666667,92.25,85.64997863769531,10,72.42
Pteropus lylei,13.7629565508,100.4988917927,1,33.525,91.83333333333333,149.9763946533203,1,79.49
Pteropus lylei,13.7774913378,100.5943536062,1,33.63333333333333,97.25,97.66714477539062,1,79.71
Pteropus lylei,13.6461770454,100.5121862336,1,33.40833333333333,96.5,71.72781372070312,7,74.68
Pteropus alecto,-28.6174866667,153.00231945,1,25.94166666666667,78.5,7.944314479827881,5,48.9
